premium,name,has_test,response_letter_required,department_id,department_name,area_id,area_name,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview,salary_from_rub,salary_to_rub,"(False, 'salary_from_rub')","(False, 'salary_to_rub')"
False,Middle/Senior Data Scientist (команда SberCampaigning),False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between3And6,full,False,False,,,,
False,Менеджер проектов в ML,False,False,,,4,Новосибирск,,,,,open,Центр финансовых технологий,fullDay,between1And3,full,False,False,,,,
False,Machine Learning Engineer,False,False,,,78,Самара,,,,,open,Positive Technologies,fullDay,between3And6,full,False,False,,,,
False,Инженер баз данных (PostgreSQL),False,False,3529-3529-prof,Сбер для экспертов,2,Санкт-Петербург,,,,,open,СБЕР,fullDay,between1And3,full,False,False,,,,
False,Аналитик данных (финансовый департамент),False,False,,,1,Москва,,,,,open,WILDBERRIES,flexible,between1And3,full,True,False,,,,
False,Data Analyst,False,False,,,1,Москва,,,,,open,WILDBERRIES,fullDay,between3And6,full,False,False,,,,
False,ML Engineer (Прогнозирование временных рядов),False,False,,,88,Казань,,,,,open,СимбирСофт,remote,between1And3,full,False,False,,,,
False,Аналитик данных (офис),False,False,,,1,Москва,100000.0,,RUR,False,open,Государственное бюджетное учреждение Московской области Центр мемориальных услуг (ГБУ МО ЦМУ),fullDay,between1And3,full,True,False,100000.0,,100000.0,
False,Data Analyst (middle/senior),False,False,,,1,Москва,2500.0,4000.0,USD,True,open,Fundraise Up,remote,between3And6,full,False,False,,,2500.0,4000.0
False,Аналитик данных (Excel) с функциями помощника руководителя,False,False,,,2,Санкт-Петербург,70000.0,,RUR,True,open,САТУРН - строительные материалы,fullDay,between1And3,full,True,False,70000.0,,70000.0,
False,Аналитик данных,False,False,1449-1449-window,Витрина ТВ,1,Москва,,,,,open,Медиа Бизнес Солюшенс,fullDay,between1And3,full,True,False,,,,
False,Аналитик данных / Data Analyst,False,False,,,1,Москва,,,,,open,Марс,fullDay,between1And3,full,False,False,,,,
False,Дата аналитик / Data analyst,False,False,,,1,Москва,,,,,open,SmmTouch LLC,fullDay,between3And6,part,False,False,,,,
False,Руководитель направления Аналитика данных/отчетность В2В сегмент (Крупные клиенты),False,False,,,1,Москва,,,,,open,Ростелеком,fullDay,between3And6,full,True,False,,,,
False,Data Engineer направления разработки витрин данных,False,False,,,2,Санкт-Петербург,,,,,open,Т1,remote,between1And3,full,False,False,,,,
False,Сollection analyst (аналитики данных во взыскании),False,False,,,2,Санкт-Петербург,,,,,open,MoneyCat,remote,between1And3,full,False,False,,,,
False,Аналитик качества данных,False,False,,,1,Москва,,,,,open,Лига Цифровой Экономики,fullDay,between1And3,full,False,True,,,,
False,Менеджер по развитию (аналитик данных),False,False,,,2,Санкт-Петербург,120000.0,,RUR,True,open,Деловые Линии,fullDay,between1And3,full,False,False,120000.0,,120000.0,
False,Разработчик баз данных (Аналитик),False,False,,,19,Брянск,,,,,open,Эверест,fullDay,between1And3,full,False,False,,,,
False,Руководитель Data&Repoprting / Data Analyst,False,False,,,2,Санкт-Петербург,,,,,open,Concept Group,fullDay,between3And6,full,True,False,,,,
False,Data engineer,False,False,,,35,Иркутск,,,,,open,Эн+,fullDay,between3And6,full,False,False,,,,
False,Data Engineer (remote),False,False,,,1,Москва,,,,,open,РобоФинанс,remote,between3And6,full,False,False,,,,
False,Ведущий аналитик данных,False,False,,,1,Москва,,,,,open,Комус,fullDay,between3And6,full,True,False,,,,
False,Главный эксперт (аналитик данных Excel),False,False,,,1,Москва,,,,,open,Россельхозбанк,fullDay,between1And3,full,True,False,,,,
False,ML Engineer,False,False,,,1,Москва,150000.0,,RUR,False,open,КИТТ,fullDay,between3And6,full,False,False,150000.0,,150000.0,
False,Senior Data Analyst (Finance),False,False,,,1,Москва,,,,,open,Сравни,fullDay,between3And6,full,True,False,,,,
False,Старший инженер систем хранения данных,False,False,mts-3776-main,«МТС» ,102,Хабаровск,120000.0,,RUR,True,open,МТС,fullDay,between3And6,full,False,True,120000.0,,120000.0,
False,Эксперт-исследователь AI в центр RnD [Governance],False,False,mts-3776-it,"«МТС», Digital",1,Москва,,,,,open,МТС,fullDay,between1And3,full,False,True,,,,
False,Data аналитик,False,False,,,1,Москва,,,,,open,Employcity,fullDay,between3And6,full,False,False,,,,
False,Ведущий экономист (аналитик данных),False,False,,,1,Москва,,,,,open,Центральный банк Российской Федерации,fullDay,between1And3,full,False,False,,,,
False,"Специалист по работе с AI, нейросетями",False,False,68587-68587-markpr,Алабуга. Маркетинг и PR,99,Уфа,60000.0,,RUR,True,open,"Алабуга, ОЭЗ ППТ",fullDay,noExperience,full,False,False,60000.0,,60000.0,
False,Business Data Engineer,False,False,,,88,Казань,,,,,open,Тинькофф,fullDay,between3And6,full,True,True,,,,
False,AI Apps Developer/JavaScript/Python,False,False,,,2,Санкт-Петербург,,,,,open,Just AI,flexible,between3And6,full,True,False,,,,
False,Аналитик данных (направление рисков),False,False,,,1,Москва,,,,,open,CloudPayments,fullDay,between1And3,full,True,False,,,,
False,Senior Data Analist (Pharma) / Старший аналитик фармацевтических данных,False,False,,,1,Москва,,,,,open,АДВ,fullDay,between3And6,full,True,False,,,,
False,Аналитик данных внутритрубной диагностики,False,False,,,2037,Луховицы,60000.0,,RUR,False,open,НЦТО,fullDay,noExperience,full,True,False,60000.0,,60000.0,
False,Инженер-проектировщик систем хранения данных,False,False,,,1,Москва,,,,,open,Инфосистемы Джет,fullDay,between3And6,full,True,False,,,,
False,Middle Дата Аналитик в продукт ГЕО (Big Data),False,False,mts-3776-it,"«МТС», Digital",1,Москва,,,,,open,МТС,fullDay,between1And3,full,True,False,,,,
False,Middle Дата Аналитик в продукт Защитник (Big Data),False,False,mts-3776-it,"«МТС», Digital",1,Москва,,,,,open,МТС,fullDay,between1And3,full,False,False,,,,
False,ML Engineer,False,False,,,1,Москва,,,,,open,WILDBERRIES,fullDay,between3And6,full,False,False,,,,
False,Аналитик данных / Разработчик BI,False,False,,,1,Москва,,,,,open,БАНК УРАЛСИБ,fullDay,between1And3,full,True,False,,,,
