premium,name,department_id,department_name,area_id,area_name,has_test,response_letter_required,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview
False,Аналитик данных (Big data),,,1,Москва,False,False,,,,,open,Банк ВТБ (ПАО),fullDay,between1And3,full,False,False
False,Аналитик данных,,,3,Екатеринбург,False,False,,,,,open,Тинькофф,fullDay,between1And3,full,True,False
False,Project Manager (AI Lab),3529-3529-prof,Сбер для экспертов,1,Москва,False,False,,,,,open,Сбербанк,fullDay,between3And6,full,True,False
False,Junior/Middle/Senior Data Scientist (AI Lab),3529-3529-prof,Сбер для экспертов,1,Москва,False,False,,,,,open,Сбербанк,fullDay,noExperience,full,True,False
False,Middle/Senior ML Engineer (AI Lab),3529-3529-prof,Сбер для экспертов,1,Москва,False,False,,,,,open,Сбербанк,fullDay,noExperience,full,True,False
False,Data scientist,,,90,Томск,False,False,,,,,open,Перфект Арт,fullDay,between1And3,full,False,False
False,Data scientist,,,4,Новосибирск,False,False,,,,,open,Перфект Арт,fullDay,between1And3,full,True,False
False,Data Engineer [id64881],gpn-39305-HOLD,ПАО «Газпром нефть»,99,Уфа,True,False,,,,,open,Газпром нефть,fullDay,between1And3,full,True,False
False,Data scientist,,,2,Санкт-Петербург,False,False,,,,,open,Перфект Арт,fullDay,between1And3,full,False,False
False,Data engineer (коммерческое направление),mgfn-3127-it,"МегаФон, IT",1,Москва,False,False,,,,,open,МегаФон,fullDay,between1And3,full,True,False
False,Master Data Analyst,adidas-4039-ofis,"adidas, Центральный офис",1,Москва,False,False,,,,,open,adidas,fullDay,between1And3,full,False,False
False,Data Engineer,,,1,Москва,False,False,,,,,open,Ростелеком,fullDay,between3And6,full,True,False
False,Аналитик данных,,,72,Пермь,False,False,30000.0,50000.0,RUR,False,open,Knoema,flexible,between3And6,full,True,False
False,"Проверяющий преподаватель по курсу ""Data Scientist""",,,1,Москва,False,False,,,,,open,Skillbox,remote,between1And3,part,False,False
False,Ведущий аналитик данных,,,1,Москва,False,False,,,,,open,ГБУ МО МОМИАЦ,fullDay,between3And6,full,True,False
False,Аналитик данных / BI аналитик (Tableau),,,1,Москва,False,True,80000.0,155000.0,RUR,False,open,АНАЛИТИКА ПЛЮС,fullDay,noExperience,full,True,False
False,Data Scientist (Predictive Analytic Solutions),,,1,Москва,False,False,,,,,open,Mail.ru Group,flexible,between3And6,full,True,False
False,Data Analyst (AppCalls),,,1,Москва,False,False,,,,,open,Авито,fullDay,between1And3,full,True,False
False,Специалист по прогнозированию/ Аналитик (ML),7172-7172-supe,"Лента, федеральная розничная сеть, Супермаркет",2,Санкт-Петербург,False,False,,,,,open,"Лента, федеральная розничная сеть",fullDay,between1And3,full,True,False
False,Разработчик Python/Data Engineer,,,1,Москва,False,False,,,,,open,Информационное агентство России ТАСС,fullDay,between3And6,full,True,False
False,Data Engineer,,,1,Москва,False,False,,,,,open,Лаборатория Касперского,fullDay,between1And3,full,False,False
False,Data Scientist,,,53,Краснодар,False,False,,,,,open,"МАГНИТ, Розничная сеть",fullDay,between3And6,full,False,False
False,Data Scientist,,,3,Екатеринбург,False,False,,,,,open,"МАГНИТ, Розничная сеть",fullDay,between1And3,full,False,False
False,Data Scientist,,,4,Новосибирск,False,False,,,,,open,"МАГНИТ, Розничная сеть",fullDay,between1And3,full,False,False
False,BI аналитик / Инженер данных (Разработчик DWH),,,2,Санкт-Петербург,False,False,100000.0,,RUR,True,open,СЕВЕРГРУПП МЕДИЦИНА,fullDay,between1And3,full,True,False
False,Data scientist (Сберсоветник),3529-3529-prof,Сбер для экспертов,1,Москва,False,False,,,,,open,Сбербанк,fullDay,noExperience,full,False,False
False,Аналитик /Data Scientist,,,2,Санкт-Петербург,False,False,,,,,open,СПб ГУП Санкт-Петербургский информационно-аналитический центр,fullDay,between1And3,full,True,False
False,Data Analyst,,,1,Москва,False,False,,,,,open,OMD OM Group,fullDay,between3And6,full,False,False
False,Аналитик данных [19755],gpn-39305-HOLD,ПАО «Газпром нефть»,2,Санкт-Петербург,False,False,,,,,open,Газпром нефть,fullDay,between1And3,full,False,False
False,Системный аналитик (направление AI),,,1,Москва,False,False,,,,,open,Облачные технологии,fullDay,noExperience,full,True,False
False,Аналитик данных (ГПХ),,,53,Краснодар,False,False,,35000.0,RUR,True,open,Ростелеком,fullDay,between1And3,full,True,False
False,"Data engineer (AWS, Remote)",,,1,Москва,False,False,,,,,open,ClearScale,remote,moreThan6,full,False,False
False,"Data engineer (AWS, Remote)",,,2,Санкт-Петербург,False,False,280000.0,,RUR,True,open,ClearScale,remote,moreThan6,full,False,False
False,"Data engineer (AWS, Remote)",,,4,Новосибирск,False,False,,,,,open,ClearScale,remote,moreThan6,full,False,False
False,"Data engineer (AWS, Remote)",,,79,Саратов,False,False,,,,,open,ClearScale,remote,moreThan6,full,False,False
False,"Data engineer (AWS, Remote)",,,78,Самара,False,False,,,,,open,ClearScale,remote,between3And6,full,False,False
False,DevOps ML (HR-платформа),3529-3529-prof,Сбер для экспертов,1,Москва,False,False,,,,,open,Сбербанк,fullDay,between1And3,full,False,False
False,Data scientist/ Директор в управлении розничного моделирования,,,1,Москва,False,False,,,,,open,Банк ВТБ (ПАО),fullDay,between1And3,full,False,False
False,Junior Data Engineer (Product Company),,,1002,Минск,False,False,,,,,open,Profitero,fullDay,noExperience,full,True,False
False,Data Engineer,,,26,Воронеж,False,False,,,,,open,Murano Software,flexible,between3And6,full,True,False
False,Аналитик данных,,,1,Москва,False,False,50000.0,70000.0,RUR,True,open,ГБУ г. Москвы ИНКОЦентр,fullDay,noExperience,full,False,False
False,Data scientist,groupm-70784-wama,"Группа компаний «GroupM», Wavemaker",1,Москва,False,False,,,,,open,GroupM,fullDay,noExperience,full,True,False
False,Data Analyst,,,2,Санкт-Петербург,False,False,,,,,open,Баер Макспостер,fullDay,between3And6,full,True,False
False,"Главный специалист направления операционной отчетности (Аналитик SQL, Data Scientist)",pochta-4352-office,"«Почта России», Офис",1,Москва,False,False,,,,,open,Почта России,fullDay,between1And3,full,True,False
False,Data Engineer,,,1,Москва,False,False,,,,,open,«Газпромбанк» (Акционерное общество),fullDay,between1And3,full,False,False
False,"Big Data Engineer, Multinational Financial Services",,,88,Казань,False,False,,,,,open,DataArt,flexible,between1And3,full,False,False
False,Big Data Engineer (Multinational Financial Services),,,66,Нижний Новгород,False,False,,,,,open,DataArt,flexible,between1And3,full,False,False
False,Big Data Engineer (Multinational Financial Services),,,4,Новосибирск,False,False,,,,,open,DataArt,flexible,between1And3,full,False,False
False,Senior Data Scientist,,,1,Москва,False,False,,,,,open,Норникель,fullDay,between3And6,full,False,False
False,Senior Data Engineer,,,1,Москва,False,False,,,,,open,Норникель,fullDay,between3And6,full,False,False
False,Lead Data Analyst,,,1,Москва,False,False,250000.0,,RUR,False,open,Skyeng,fullDay,between3And6,full,False,False
False,Lead Data Analyst,,,2,Санкт-Петербург,False,False,250000.0,,RUR,False,open,Skyeng,fullDay,between3And6,full,False,False
False,Lead Data Analyst,,,4,Новосибирск,False,False,250000.0,,RUR,False,open,Skyeng,fullDay,between3And6,full,False,False
False,ML/AI expert (reinforcement learning),,,1,Москва,False,False,,,,,open,HUAWEI,fullDay,moreThan6,full,False,False
False,Data Engineer,,,1,Москва,False,False,,,,,open,Selecty,fullDay,between1And3,full,False,False
False,Senior Python Developer (ML/Модерация),,,1,Москва,False,False,,,,,open,Циан,fullDay,between3And6,full,True,False
False,Data Analyst (Tech Platform),,,1,Москва,False,False,,,,,open,Авито,fullDay,between3And6,full,True,False
False,ML разработчик (МТС ТВ),mts-3776-it,"«МТС»,IT",1,Москва,False,False,,,,,open,МТС,fullDay,between3And6,full,False,False
False,Data Scientist (family office),,,1,Москва,False,False,,,,,open,"585, Холдинг",fullDay,noExperience,full,False,False
False,Data Scientist (family office),,,2,Санкт-Петербург,False,False,,,,,open,"585, Холдинг",fullDay,noExperience,full,False,False
False,Data Engineer,,,53,Краснодар,False,False,,,,,open,Plarium,fullDay,between3And6,full,True,False
False,Data Scientist,,,53,Краснодар,False,False,,,,,open,Plarium,remote,between1And3,full,True,False
False,Junior ML Engineer,,,1,Москва,False,True,,,,,open,PROFI.RU,fullDay,noExperience,full,True,False
False,Data engineer/ETL-специалист со знанием Java,,,1,Москва,False,False,,,,,open,Мирамедикс,fullDay,between3And6,full,True,False
False,Data Analyst,,,1,Москва,False,False,,,,,open,Vivid Money,fullDay,between1And3,full,True,False
False,Аналитик /Data Analyst,662769-662769-piter,"Wargaming, Saint Petersburg (Lesta Studio)",2,Санкт-Петербург,False,False,,,,,open,Wargaming,fullDay,between1And3,full,False,False
False,Team Lead Machine Learning,,,1,Москва,False,False,200000.0,350000.0,RUR,False,open,Компания Семь Братьев,flexible,between3And6,full,False,False
False,Data Engineer/ Data Scientist,,,90,Томск,False,False,,190000.0,RUR,True,open,Sidenis,fullDay,between1And3,full,True,False
False,Junior Data Engineer,,,53,Краснодар,False,False,,,,,open,Plarium,fullDay,between1And3,full,True,False
False,Machine Learning Engineer,,,1002,Минск,False,False,,,,,open,Адани,fullDay,between1And3,full,False,False
False,Инженер данных/ Инженер BI,,,1,Москва,False,False,,,,,open,ИНВИТРО,fullDay,between3And6,full,False,False
False,Аналитик данных (Data Scientist),,,1,Москва,False,False,,150000.0,RUR,False,open,Премьер Аналитика,fullDay,between3And6,full,True,False
False,Data Engineer / ETL Developer,,,1,Москва,False,False,,,,,open,Skillbox,fullDay,between3And6,full,True,True
